month,Total
1,6038.059072580645
2,5606.2446902654865
3,5214.638629032258
4,4524.581041666666
5,3829.3362903225807
6,3278.6381156316916
7,2820.9645161290323
8,2547.6563440860214
9,2699.8730888888886
10,3046.6157204301076
11,4995.928577777778
12,6291.730709677419
